"Sort Order", "Orden para mostrar"
"Order was placed using Conekta %s", "El pedido fue realizado usando Conekta %s"
"Order amount %s", "Monto de la orden: %s"
"Conekta Id %s", "Conekta Id: %s"
"Reference Number: %s", "Número de referencia: %s"
"Expiry Date: %s", "Fecha de expiración: %s"
"Service Name: %s", "Nombre del servicio: %s"
"Service Number: %s", "Número del servicio: %s"
"Bank Name: %s", "Nombre del banco: %s"
"Order details", "Detalles de la orden"
"This is a required field.","Este es un Campo necesario."
